name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
san francisco,2015-07-05,23.9,16.3,18.9,23.9,16.3,18.9,13.7,72.9,0,0,0,,,,40.7,31.3,277.7,1014,69.8,16,311.7,26.9,10,,2015-07-05T05:53:27,2015-07-05T20:34:53,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-06,21.7,16.2,18.5,21.7,16.2,18.5,13.1,71.7,0,0,0,,,,37.1,28.3,272.8,1017.6,66.7,15.8,311.9,27.1,9,,2015-07-06T05:54:00,2015-07-06T20:34:39,0.62,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-07,22.3,16.3,18.7,22.3,16.3,18.7,13.8,74.1,0,0,0,,,,44.6,30.9,269.8,1015.7,76.2,16,348.4,30,10,,2015-07-07T05:54:34,2015-07-07T20:34:23,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-08,19.8,16,17.3,19.8,16,17.3,12.5,73.5,0,0,0,,,,48.2,29.1,265.3,1012,94.7,16,334.7,29.1,10,,2015-07-08T05:55:09,2015-07-08T20:34:06,0.73,Overcast,Cloudy skies throughout the day.,cloudy,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-09,19.1,15.1,16.7,19.1,15.1,16.7,13,78.9,0.124,100,4.17,rain,,,68.4,23.5,261,1011.8,99.2,15.6,295.3,25.3,9,,2015-07-09T05:55:45,2015-07-09T20:33:47,0.79,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-10,21.9,16.2,18.2,21.9,16.2,18.2,12.9,71.7,0.119,100,8.33,rain,,,44.6,24.6,269,1013.5,82.1,15.9,307.4,26.6,9,,2015-07-10T05:56:22,2015-07-10T20:33:26,0.85,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-11,22.3,16.2,18.8,22.3,16.2,18.8,12.4,67.3,0.069,100,4.17,rain,,,44.7,30.4,273,1015.1,53.8,16,329.4,28.4,9,,2015-07-11T05:57:01,2015-07-11T20:33:03,0.9,"Rain, Partially cloudy",Clearing in the afternoon with afternoon rain.,rain,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-12,23.1,17,19.5,23.1,17,19.5,13.2,68.2,0,0,0,,,,40.7,28.9,270.4,1016.9,75.7,16,337.4,29,10,,2015-07-12T05:57:40,2015-07-12T20:32:39,0.94,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-13,22.3,17.1,19,22.3,17.1,19,14,73.3,0,0,0,,,,60.1,36.3,265.4,1015.8,78.5,16,335.7,29.1,10,,2015-07-13T05:58:20,2015-07-13T20:32:12,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
san francisco,2015-07-14,20,15.5,17,20,15.5,17,13.4,79.7,0,0,0,,,,51.8,30.6,256.3,1013.4,93.6,15.5,338.8,29.3,10,,2015-07-14T05:59:01,2015-07-14T20:31:44,0.99,Overcast,Cloudy skies throughout the day.,cloudy,"72585093228,KSFO,72493023230,KHWD,KOAK,72494023234"
